cluster_id	sequence_id	start	end	tax_id	database	merged	blast_status	domain	phylum	class	order	family	genus	species	length	pul_length_sum	percentage_in_puls
19097_PUL0160	NZ_JQNQ01000001	1814119	1877793	1250278	puldb_dbcan	merged	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Salegentibacter	Salegentibacter sp000745315	4212161	110825	2.631072269079933
19098	NZ_JQNQ01000001	2147638	2164970		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Salegentibacter	Salegentibacter sp000745315	4212161	110825	2.631072269079933
19099_PUL0165	NZ_JQNQ01000001	2250021	2279840	1250278	puldb_dbcan	merged	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Salegentibacter	Salegentibacter sp000745315	4212161	110825	2.631072269079933
19759	JPOL01000002	1841012	1857426		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Leeuwenhoekiella	Leeuwenhoekiella sp000733945	3672893	129560	3.5274645899022925
19760	JPOL01000002	3220310	3260023		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Leeuwenhoekiella	Leeuwenhoekiella sp000733945	3672893	129560	3.5274645899022925
19761	JPOL01000003	83824	112265		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Leeuwenhoekiella	Leeuwenhoekiella sp000733945	361944	28441	7.857845412550008
21119	FP476056	174877	188546		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21120	FP476056	214864	230540		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21121_21122_PUL0132	FP476056	230679	268488	63186	puldb_dbcan	merged	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21123_PUL0318_21124	FP476056	275509	307872	63186	puldb_dbcan_puldb	merged	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21125	FP476056	340985	350666		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21126_21127	FP476056	398989	466536		puldb	merged	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21128	FP476056	472111	481243		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21129_21130	FP476056	484942	508227		puldb	merged	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21131	FP476056	576319	592323		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21132	FP476056	1085930	1101326		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21133	FP476056	1190929	1208012		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21134	FP476056	1223179	1246806		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21135_21136	FP476056	1250098	1281471		puldb	merged	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21137	FP476056	1479049	1491997		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21138	FP476056	1769357	1777496		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21139	FP476056	2420111	2441113		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21140	FP476056	2504916	2518507		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21143	FP476056	2610665	2619786		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21144	FP476056	2681750	2690170		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21145	FP476056	2695784	2707616		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21146	FP476056	2875504	2888080		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21147_PUL0151	FP476056	3065129	3084329	63186	puldb_dbcan	merged	false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21148	FP476056	3125872	3141960		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21149	FP476056	3552451	3560830		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
21150	FP476056	3603808	3617045		puldb		false	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia galactanivorans	5521712	929780	16.838618167698712
