cluster_id	sequence_id	start	end	tax_id	database	merged	blast_status	domain	phylum	class	order	family	genus	species	length	pul_length_sum	percentage_in_puls
PUL0216_PUL0445	AB011415	1	14738	28214	dbcan	merged	false								14852	14737	99.22569350929167
PUL0393	AB516430	932	22419	252514	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Microbulbifer	Microbulbifer thermotolerans	22777	21487	94.3363919743601
PUL0136	ADOP01000016	43718	80113	228	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas distincta	90307	36395	40.301416280022586
cblaster_PUL0016	AE005176	418875	423592	1360	cblaster		false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	2365589	34349	1.4520273809186635
cblaster_PUL0520_cblaster_PUL0402	AE005176	1543237	1551460	1360	cblaster	merged	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	2365589	34349	1.4520273809186635
cblaster_PUL0520_cblaster_PUL0402	AE005176	1543237	1551460	1360	cblaster	merged	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	2365589	34349	1.4520273809186635
PUL0168	AE005176	2053080	2066266	1360	dbcan		false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	2365589	34349	1.4520273809186635
cblaster_PUL0585_PUL0186	AE005672	276837	283393	1313	cblaster		false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	2160842	77869	3.603641543435383
cblaster_PUL0018	AE005672	287482	300940	1313	cblaster		false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	2160842	77869	3.603641543435383
PUL0277	AE005672	1624067	1629762	1313	dbcan		false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	2160842	77869	3.603641543435383
PUL0278	AE005672	1710372	1718159	1313	dbcan		false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	2160842	77869	3.603641543435383
cblaster_PUL0486_PUL0037	AE005672	1798265	1808537	1313	cblaster_dbcan	merged	false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	2160842	77869	3.603641543435383
cblaster_PUL0519	AE005672	2016398	2026317	1313	cblaster		false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	2160842	77869	3.603641543435383
PUL0194	AE005672	2050572	2061389	1313	dbcan		false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	2160842	77869	3.603641543435383
PUL0245	AE005672	2072292	2085657	1313	dbcan		false	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	2160842	77869	3.603641543435383
PUL0571	AE006468	1390110	1397061	28901	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	4857450	16282	0.3351964508126692
cblaster_PUL0410	AE006468	3500614	3509945	28901	cblaster		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	4857450	16282	0.3351964508126692
PUL0155	AE007870	11703	21103	1176649	dbcan		false	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium fabrum	2075577	19447	0.9369442810360685
PUL0726	AE007870	302505	312552	1176649	dbcan		false	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium fabrum	2075577	19447	0.9369442810360685
PUL0363	AE008922	150292	155526	340	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175
cblaster_PUL0702	AE008922	2024640	2042368	340	cblaster		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175
cblaster_PUL0169	AE008922	2832163	2854388	340	cblaster		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175
cblaster_PUL0719_PUL0365	AE008922	2926203	2941997	340	cblaster_dbcan	merged	false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175
PUL0211	AE008922	3414366	3434455	340	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175
PUL0362	AE008922	3996974	4004221	340	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175
PUL0387	AE008922	4057997	4068416	340	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175
PUL0364	AE008922	4895164	4909294	340	dbcan		false	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	5076188	112866	2.223440108995175
PUL0031	AE014295	126816	130943	216816	dbcan		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089
cblaster_PUL0285	AE014295	1015666	1027327	216816	cblaster		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089
cblaster_PUL0297_cblaster_PUL0298_cblaster_PUL0283_PUL0367	AE014295	1165270	1177370	216816	cblaster_dbcan	merged	false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089
cblaster_PUL0720	AE014295	1354873	1372084	216816	cblaster		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089
PUL0032	AE014295	1500956	1505431	216816	dbcan		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089
cblaster_PUL0232	AE014295	1692080	1699655	216816	cblaster		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089
cblaster_PUL0296	AE014295	1733290	1744564	216816	cblaster		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089
cblaster_PUL0300	AE014295	1787637	1806222	216816	cblaster		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089
cblaster_PUL0576	AE014295	2047897	2057593	216816	cblaster		false	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	2256640	96704	4.285309132161089
