Organism,Scaffold,Start,End,Score,AP006841_1643,AP006841_1644,AP006841_1645,AP006841_1646,AP006841_1647,AP006841_1648,AP006841_1649,AP006841_1650,AP006841_1651,AP006841_1652,AP006841_1653,AP006841_1654,AP006841_1655,AP006841_1656,AP006841_1657
AE015928,AE015928.1,557454,572833,10.8180,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0
AP006841,AP006841.1,2021973,2049211,27.8247,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
CP000139,CP000139.1,5084521,5103985,11.7156,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0
CR626927,CR626927.1,2100109,2124156,24.6159,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
FP929033,FP929033.1,1054312,1068020,8.6921,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0
FQ312004,FQ312004.1,2027222,2051267,24.5823,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
LR131279,LR131279.1,30408,41664,8.4517,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
LT622246,LT622246.1,4169595,4182985,8.6895,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0
NZ_CP046176,NZ_CP046176.1,3702693,3722065,11.7125,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0
NZ_CP113514,NZ_CP113514.1,2348040,2367454,15.9499,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0
NZ_KB905472,NZ_KB905472.1,539247,558609,11.7186,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0
